epoch,accuracy,loss,val_accuracy,val_loss
0,0.6459143757820129,0.6698806285858154,0.6614173054695129,0.644923746585846
1,0.6459143757820129,0.650233805179596,0.6614173054695129,0.6405696868896484
2,0.6459143757820129,0.6507790088653564,0.6614173054695129,0.6413511633872986
3,0.6459143757820129,0.6500022411346436,0.6614173054695129,0.6397947669029236
4,0.6459143757820129,0.6512705087661743,0.6614173054695129,0.6386603713035583
5,0.6459143757820129,0.648560643196106,0.6614173054695129,0.636688232421875
6,0.6459143757820129,0.6514116525650024,0.6614173054695129,0.6352531909942627
7,0.6459143757820129,0.6539443135261536,0.6614173054695129,0.6429376006126404
8,0.6459143757820129,0.6485511064529419,0.6614173054695129,0.6351622939109802
9,0.6459143757820129,0.649300217628479,0.6614173054695129,0.6348583698272705
10,0.6459143757820129,0.6434770226478577,0.6614173054695129,0.6409938335418701
